Word	df
disappears	1
disappointed	1
disasters	1
discharge	1
discharged	1
discontinuous	1
discover	1
discovers	1
discriminate	1
discussed	1
disease-related	1
disillusionment	1
disorder	1
dispatch:	1
dispersion	1
disrupt	1
disruption	1
distances	1
distant	1
distinguished	1
distracted	1
distributed	1
distributing	1
distribution	1
disturbance	1
diverse	1
diversions	1
diversity	1
diverted	1
divest	1
divulge	1
dkfz	1
dna-damaging	1
dnas	1
dntt	1
doctors	1
doe	1
doj	1
dollar	1
dollars	1
dominant	1
dominated	1
donald	1
donations	1
doors	1
dopamine	1
doped	1
dormant	1
dose	1
double-layer	1
doubled	1
doubt	1
download	1
downloaded	1
downloads	1
downward	1
draco	1
dramatic	1
draw	1
dream	1
dreamforce	1
dreams	1
drifted	1
drop	1
droplet	1
droplets	1
drops	1
drove	1
drug	1
drugs	1
drummond	1
dual-mode	1
duckett	1
dug	1
dulles	1
dumping	1
dunn	1
dust	1
dwarf	1
dwarfs	1
dynamics	1
dynamo	1
e-ink	1
e-ink:	1
eager	1
ear	1
earliest	1
early-stage	1
earning	1
earnings	1
ears	1
earth-bound	1
earth-directed	1
earth-observing	1
earthquake	1
east	1
eastern	1
easy-on-the-eye	1
ebooks	1
echoed	1
echolocate	1
echolocation	1
economically	1
ecosystem	1
editor	1
edlcs	1
edo	1
edt	1
education	1
edward	1
effective	1
effectively	1
efficiencies	1
efficient	1
efficiently	1
egg	1
eggs	1
eighth	1
einstein	1
ejected	1
ejections	1
electricity	1
electrolytes	1
electron	1
electronically	1
electronics	1
electrostatic	1
elementary	1
elements	1
elevation	1
eleven	1
ellen	1
else	1
embroiled	1
embryos	1
emerge	1
emerged	1
emergency	1
emission	1
emissions	1
emitted	1
emitting	1
emphasize	1
employed	1
empty	1
encoded	1
encourage	1
encourages	1
encouraging	1
endear	1
endeavours	1
ends	1
energy-efficient	1
energy-harvesting	1
energy-saving	1
enforcement	1
engage	1
engine	1
engines	1
england	1
enhancement	1
enjoyed	1
enjoys	1
enlist	1
enormous	1
enormously	1
ensuring	1
entangled	1
entanglement	1
entered	1
enterprise	1
enterprises	1
entirety	1
entrepreneurs	1
envelope	1
envelope-based	1
envelope-induced	1
envelopes	1
enzymes	1
episodically	1
epochs	1
epoxy	1
equal-sized	1
equally	1
equipping	1
equivalent	1
eric	1
ericsson	1
ermine	1
escobar	1
ester	1
estimate	1
estimated	1
etc	1
eugene	1
european	1
evaluate	1
evaluated	1
evenly	1
event	1
everybody	1
everyday	1
everyone	1
evident	1
evla	1
evolution:	1
evolved	1
evolving	1
examined	1
examines	1
examining	1
excavated	1
exchange	1
excitement	1
excites	1
exclaimed	1
exclusive	1
execute	1
exist	1
existence	1
exists	1
expand	1
expanded	1
expanding	1
expendable	1
expending	1
expenses	1
experimenting	1
experts	1
explain	1
explaining	1
explanation	1
explicit	1
exploit	1
exploited	1
exploiting	1
explorer	1
explosion	1
explosive	1
exposed	1
exposures	1
express	1
expressing	1
expression	1
extensively	1
extinct	1
extracted	1
eyes	1
fabbiano	1
facebooks	1
facets	1
facilities	1
facing	1
factors	1
faculty	1
fade	1
fahlke	1
fahrenheit	1
fail	1
failure	1
falling	1
fans	1
fantastic	1
fast-charging	1
fast-forward	1
fast-moving	1
fastest	1
fat	1
fatigue	1
favorable	1
favored	1
fcc	1
fear	1
feasibility	1
feasible	1
feature	1
feb	1
february	1
fed	1
feeble	1
feed	1
feeds	1
feel	1
feeling	1
fees	1
feet	1
feke	1
fell	1
felony	1
fernwirkung	1
ferrari	1
fertilisation	1
fertilising	1
fertility	1
fiber	1
fiberglass	1
fieldwork	1
fight-or-flight	1
figured	1
file	1
files	1
fill	1
filter	1
filters	1
finalists	1
fine	1
finger	1
finish	1
fire	1
fires	1
firms	1
first-generation	1
first-person	1
first-time	1
fiscal	1
fish	1
fit	1
fixation	1
flat	1
flat-topped	1
flawless	1
flaws	1
flex	1
flights	1
float	1
floating	1
flood	1
florence	1
flourish	1
flowing	1
flu-like	1
fluctuations	1
flutter	1
fly	1
fmedsci	1
focuses	1
food	1
foolish	1
footstool	1
forces	1
forecasted	1
foreign	1
forms	1
forrester	1
fortunately	1
forty-five	1
fossil	1
fossilization	1
fossils	1
foster	1
founded	1
four-million-solar-mass	1
fourth	1
fracture	1
fragment	1
fragments	1
framework	1
frederic	1
frequent	1
frequently	1
fresh	1
friends	1
front	1
frozen	1
frs	1
fueled	1
fuels	1
fullerenes	1
fun	1
functioning	1
functions	1
fundamental	1
funded	1
funnels	1
fuse	1
fused	1
g	1
gains	1
galaxys	1
game-changer	1
gaming	1
gamma-ray	1
garage	1
garan	1
gartner	1
gartners	1
gary	1
gas-giant	1
gases	1
gather	1
gawker	1
gear	1
gecko	1
gel-like	1
genachowski	1
gene-delivery	1
generates	1
generous	1
genetic	1
genetically	1
geneticist	1
genetics	1
genomes	1
genomic	1
genomics	1
geography	1
geological	1
geology	1
george	1
germline	1
gerry	1
ghostlike	1
gingerich	1
girls	1
giving	1
glacier	1
glaciers	1
global	1
globe	1
glow	1
glowing	1
glucose	1
goals	1
gold	1
golding	1
gone	1
google+	1
governmental	1
gps	1
grade	1
gradually	1
grail	1
grant	1
granted	1
graphite	1
graphitic	1
gray	1
greatly	1
greenhouse	1
greenland	1
greenlands	1
greg	1
grew	1
grewal	1
grid	1
grigorenko	1
guaranteed	1
guardian	1
guess	1
guido	1
guillermo	1
gulf	1
gyneacology	1
gyro	1
habits	1
hacking	1
haefer	1
hair	1
halting	1
hand	1
hand-off	1
handcrafting	1
handed	1
handful	1
handling	1
handset	1
hanes	1
hang	1
harm	1
harming	1
harmless	1
haro	1
harrington	1
hartigan	1
harvard-led	1
harvest	1
hauge	1
havoc	1
hawaii	1
haynes	1
head-on	1
heading	1
headline	1
headline:	1
hearing	1
hearing:	1
heat	1
heating	1
heavier	1
heavily	1
hebrew	1
hed	1
heidelberg	1
heights	1
held	1
helioseismologists	1
helioseismology	1
heliospheric	1
helpful	1
hendrik	1
henry	1
herbig	1
herbig-haro	1
hereditary	1
herere	1
hes	1
hesitation	1
hewlett-packard	1
hh	1
hides	1
high-aspect-ratio	1
high-efficiency	1
high-resolution	1
high-speed	1
highlighted	1
highlights	1
hindered	1
hit-or-miss	1
hiv	1
hiv-1	1
hiv-aids	1
hiv-protective	1
hiv:	1
hivs	1
hogan	1
hoisted	1
holder	1
hollow	1
holy	1
home	1
hong	1
honor	1
honor:	1
honored	1
hop	1
hoped	1
horizon	1
hormone	1
hormones	1
horse	1
hose	1
hospital	1
hospital-acquired	1
hospitals	1
hostile	1
hosting	1
hot	1
hotter	1
hour	1
houses	1
houston	1
houston-based	1
hp	1
hspa	1
htc	1
hua-xin	1
hubbles	1
hubs	1
hundred	1
hunted	1
hurricane	1
hurt	1
huvell	1
hybrids	1
hydroelectric	1
hydrogen	1
hydropower	1
hype	1
ica	1
idc	1
ideal	1
identical	1
identification	1
identifies	1
identifying	1
identities	1
ii	1
illegally	1
illuminating	1
illustrate	1
illustrated	1
ilonidis	1
ilonidiss	1
im	1
imac	1
imaging	1
immature	1
immense	1
immune	1
immunity	1
immunizations	1
immunogen	1
immunogenicity	1
immunogens	1
immunology	1
impairment	1
impediment	1
imperial	1
impermeable	1
implications	1
implying	1
importantly	1
impossible	1
impressive	1
imprisoned	1
improves	1
inactivate	1
inc	1
incoming	1
incorporate	1
increases	1
increasing	1
incredible	1
independent	1
indicating	1
indications	1
indigent	1
individually	1
indoor	1
inducing	1
industries	1
ineffective	1
inefficient	1
inert	1
infalling	1
infect	1
infections	1
infertility	1
inflated	1
informally	1
informed	1
infrared	1
infrastructures	1
infringement	1
infusion	1
inhabit	1
initiated	1
initiating	1
inject	1
innermost	1
innovative	1
inorganic	1
input	1
insert	1
inserted	1
insight	1
insisting	1
inspired	1
installations	1
instance	1
instances	1
institutes	1
institutions	1
instrumentation	1
insufficient	1
intellectual	1
intelligence	1
intenders	1
intending	1
intensive	1
intentional	1
interactions	1
interestingly	1
interfere	1
interference	1
interglacial	1
internationally	1
interpret	1
interstellar	1
interview	1
intimately	1
intravenous	1
intravenously-delivered	1
introduced	1
intrusion	1
invented	1
invested	1
investigate	1
investigations	1
investment	1
ion	1
ions	1
irregularity	1
islands	1
isolate	1
isolated	1
isolating	1
isolation	1
israel	1
item	1
ithaca	1
itunes	1
j	1
j1644+57	1
jan	1
japan	1
japan-led	1
jason	1
jaw	1
jaws	1
jay	1
jennerex	1
jewellery	1
jgi	1
jgis	1
jobs	1
johannes	1
joined	1
jon	1
journalists	1
jpss	1
julius	1
jumbo	1
jump	1
jumps	1
junfeng	1
junior	1
junwei	1
jupiter	1
justify	1
jx-594	1
k	1
kan	1
kansas	1
kea	1
keck	1
keen	1
keeping	1
ken	1
kennedy	1
kennedys	1
kerosene	1
khlobystov	1
kibo	1
kidding	1
killer	1
kilometers	1
kindle	1
kindle/tablet	1
kindles	1
kirchman	1
kirkpatrick	1
kirn	1
kish	1
kitchen	1
km	1
knife	1
knock	1
knocking	1
knot	1
knots	1
knowing	1
knowingly	1
knows	1
knudsen	1
koenig	1
kong	1
konstantin	1
kosovichev	1
kostya	1
krauter	1
ksc	1
kwong	1
l	1
la	1
laboratories	1
laboratorys	1
language	1
languish	1
laptop	1
large-area	1
large-scale	1
larry	1
laser	1
lasting	1
lately	1
launching	1
lavery	1
lawsuits	1
lazy	1
lcd	1
lcds	1
leaders	1
lean	1
leaning	1
leap	1
leapfrog	1
learn	1
learning	1
leaves	1
leaving	1
lefkowitz	1
leftkowitz	1
leftward	1
leisure	1
lenovo	1
less-acidic	1
let	1
letter	1
letvin	1
leveling	1
levi	1
lfi	1
lg	1
li	1
liao	1
lifeblood	1
lifecycle	1
lifetime	1
light-harvesting	1
light-years	1
lighter	1
lights	1
liking	1
limb	1
lineages	1
lined	1
lines	1
linkedin	1
links	1
linux	1
liquid-like	1
lisa	1
literally	1
litigation	1
litigations	1
lived	1
lives	1
lizard	1
llc	1
loaded	1
locality	1
lock	1
logic	1
loic	1
loic-users	1
london	1
longest-observed	1
longstanding	1
loos	1
loose	1
lop	1
lopped	1
losing	1
loss-of-function	1
losses	1
louis	1
lounge	1
love	1
lt	1
lte	1
lulzsec	1
luminous	1
lumpy	1
lunchtime	1
lung	1
m	1
m.d	1
macaques	1
macbook	1
machinery	1
macromolecular	1
madden	1
maddens	1
magellan	1
magic	1
magistrate	1
magnetometers	1
magnitude	1
mainstream	1
maintained	1
maintains	1
majer	1
majority	1
mammals	1
mammoth	1
mammoths	1
manas-zloczower	1
manipulated	1
manipulating	1
manipulation	1
manipulations	1
manufacture	1
manufactured	1
marc	1
marcio	1
marilyn	1
marine	1
marisa	1
mark	1
marked	1
marketing	1
marketplace	1
markets	1
marks	1
marquee	1
marshal	1
marshals	1
martian	1
martin	1
mascola	1
mass-spectrometric	1
masses	1
master	1
mated	1
mateo	1
materialized	1
materialscience	1
matric	1
matters	1
matthew	1
maturation	1
mature	1
matures	1
mauna	1
max	1
maxi	1
maximum	1
maybe	1
mccullagh	1
mcmaster	1
mcmasters	1
me:	1
meant	1
measure	1
measurement	1
measuring	1
mechanics	1
mechanistic	1
medal	1
media	1
medias	1
meetings	1
meets	1
melechko	1
melting	1
membership	1
membranes	1
mending	1
mental	1
mention	1
mercedes	1
mere	1
merged	1
mergers	1
mernild	1
met	1
metabolic	1
metabolism	1
metagenomics	1
metal-insulator-metal	1
metallic	1
metals	1
meters	1
methane	1
metres	1
mg	1
miami	1
michigan	1
micro-g	1
microbes	1
microchips	1
microelectronics	1
micromechanical	1
microns	1
microrobot	1
microscope	1
microscopy	1
microsofts	1
microsystems	1
microwave	1
microwaves	1
middle	1
middle-aged	1
mild	1
military	1
milling	1
mimic	1
mind	1
minded	1
minerals	1
minimal	1
miniscule	1
minor	1
minutes	1
miracle	1
miscarriages	1
mismatch	1
missouri	1
mit	1
mittivakkat	1
mix	1
mmmm	1
mode	1
modems	1
moderate	1
modifying	1
modular	1
module	1
molded	1
monolayer	1
monopoly	1
monterey	1
moon	1
morse	1
motions	1
mouse	1
movies	1
multilayer	1
museum	1
mutations	1
mysteries	1
mysterious	1
mystery	1
mysticetes	1
n.m	1
n.y.	1
namely	1
names	1
nano	1
nano-level	1
nano-reactor	1
nano-reactors	1
nano-sized	1
nanobud	1
nanobuds	1
nanocircuitry	1
nanofiber	1
nanofibers	1
nanometers	1
nanometres	1
nanoparticles	1
nanoracks	1
nanoribbon	1
nanoribbons	1
nanotechnology	1
nanotube-based	1
narasimhaboddeti	1
nasal	1
navigate	1
navigation	1
nbi	1
nc	1
ncar	1
nearby	1
nearest	1
necessarily	1
necessity	1
needs	1
negatively-charged	1
negotiating	1
neighbors	1
neither	1
nelson	1
netherlands	1
networked	1
networking	1
neuropsychiatric	1
neurotransmitters	1
neutralizing	1
nevada	1
never	1
never-before-seen	1
newer	1
newest	1
nextel	1
ngc	1
niaid	1
nicholas	1
nickel	1
nintendo	1
nitrogen	1
nitrogen-centers	1
no-name	1
noaa	1
noble	1
nolan	1
non-	1
non-action	1
non-living	1
non-protein-coding	1
nontoxic	1
noradrenaline	1
norman	1
northern	1
noses	1
note	1
notice	1
noticeably	1
nottingham	1
npd	1
npds	1
npp	1
npps	1
nuclear	1
nucleases	1
nuclei	1
nucleus	1
nylon	1
oak	1
objected	1
objectives	1
obscured	1
obscuring	1
observable	1
observatories	1
observatorys	1
observing	1
obstetrics	1
obstructed	1
obvious	1
obviously	1
occlusion	1
occupy	1
occurred	1
occurs	1
oceanic	1
oceanographic	1
oct	1
odontocetes	1
odyssey	1
off-axis	1
off-the-shelf	1
offering	1
offerings	1
offers	1
officer	1
official	1
officially	1
oftentimes	1
ohio	1
ohri	1
on-chip	1
on-demand	1
oncolytic	1
one-atom-thick	1
one-eye	1
ongoing	1
open-source	1
opened	1
opening	1
openings	1
operability	1
operable	1
operated	1
operators	1
opportunitys	1
opposed	1
oppositely	1
optics	1
optimal	1
optimized	1
options	1
optoelectronics	1
optometric	1
optometrist	1
optometrists	1
optometry	1
oracle	1
orbited	1
orbiters	1
orbits	1
orbs	1
orders	1
organization	1
organize	1
organs	1
original	1
os	1
otherwise	1
ottawa	1
ourselves	1
outages	1
outbreaks	1
outburst	1
outcomes	1
outcrops	1
outdoor	1
outflows	1
outgoing	1
outlet	1
outlines	1
outperforms	1
outstanding	1
oven	1
over-hype	1
overactive	1
overcome	1
overlaid	1
overland	1
overlay	1
owls	1
owner	1
owners	1
oxide	1
oxygen	1
p53	1
pacific	1
pack	1
packing	1
pad	1
painstaking	1
painted	1
pairs	1
paleontology	1
palomar	1
pang	1
pano	1
panoramic	1
papers	1
parameters	1
park	1
parrella	1
participants	1
participate	1
participation	1
particles	1
partner	1
partnership	1
pass	1
passengers	1
passing	1
patches	1
patent	1
path	1
pathogens	1
pathology	1
patrick	1
paul	1
pause	1
pave	1
paves	1
pay	1
payload	1
paypal	1
pc	1
peculiarities:	1
peek	1
pending	1
penetrate	1
penns	1
pepi	1
peptic	1
percentage	1
perception	1
perhaps	1
periods	1
permafrost	1
persistent	1
peter	1
ph.d	1
phd	1
phenomena	1
phil	1
philip	1
phone-related	1
photodetectors	1
photograph	1
photographic	1
photonics	1
photosynthesis	1
photovoltaic	1
photovoltaics	1
physicist	1
physiology	1
pieced	1
pillar	1
pilot	1
pinging	1
pinpoint	1
pint	1
pioneers	1
pittsburgh	1
pixel	1
pixels	1
placement	1
places	1
plagued	1
planck	1
planet-sized	1
planetary	1
planets	1
plasma	1
plasmonic	1
plasmonics	1
plateau	1
plates	1
plausible	1
playbook	1
played	1
players	1
playing	1
plays	1
plea	1
plead	1
pleaded	1
pleasant	1
pleistocene	1
poh-choo	1
poinar	1
point-to-point	1
pointed	1
polar	1
polar-orbiting	1
polarity	1
polarized	1
polarizer	1
polarizers	1
polarizing	1
policies	1
pollution	1
polyurethane	1
polzik	1
poor	1
popular	1
population	1
populations	1
portfolios	1
portion	1
posited	1
positions	1
positively	1
possess	1
possesses	1
possessing	1
possibilities	1
pound	1
powell	1
powells	1
powered	1
powerhouse	1
powering	1
pre-trial	1
precipitation	1
preclude	1
precursor	1
predates	1
predators	1
predatory	1
predecessors	1
predicting	1
predictive	1
predicts	1
predominant	1
prefer	1
preferentially	1
prelaunch	1
prelude	1
premature	1
preparation	1
preparations	1
preparatory	1
preparing	1
presentation	1
presentations	1
presents	1
preserved	1
preside	1
pressing	1
pressurized	1
pretty	1
preventing	1
prevention	1
prey	1
pricing	1
primates	1
print	1
priority	1
pristine	1
private	1
procedure	1
proceedings	1
processor	1
productivity	1
prof	1
profile	1
programme	1
progress	1
prohibited	1
prolong	1
promote	1
proof-of-concept	1
propellant	1
prosecute	1
prosecutor	1
prosecutors	1
prospect	1
prosperous	1
prostate	1
protect	1
protective	1
protein-coding	1
protester	1
protests	1
protostar	1
protrusion	1
proves	1
proving	1
provost	1
proxima	1
publication	1
pull	1
pulled	1
punch:	1
pundit	1
purchase	1
purification	1
purified	1
purify	1
purkey	1
pursuing	1
putative	1
puzzling	1
quantify	1
quantity	1
quantop	1
quantum-computer	1
quest	1
question:	1
quick	1
quipped	1
radiation-induced	1
radically	1
radio-emitting	1
radiofrequency	1
radiology	1
radiometer	1
ragged	1
raise	1
ramunas	1
ran	1
randomly	1
ranging	1
ranking	1
rapid-fire	1
rarely	1
rational	1
ray	1
re	1
re-connect	1
re-emitted	1
re37802	1
reached	1
reaching	1
reacting	1
reaction	1
reactors	1
readily	1
reading	1
real-world	1
reality	1
realized	1
rearrangement	1
reason	1
reason:	1
receives	1
recession	1
recharged	1
recipe	1
recognise	1
recognises	1
recognized	1
record-breaking	1
recording	1
recover	1
recreated	1
recycling	1
red	1
redmondians	1
reduction	1
reductions	1
reed	1
reference	1
refinements	1
regime	1
regimes	1
regional	1
regions	1
regulate	1
regulators	1
regulatory	1
rein	1
reinforced	1
reinforcing	1
rejected	1
relate	1
relates	1
relationship	1
relative	1
relatively	1
relativistic	1
relay	1
relevant	1
reliability	1
reliably	1
relies	1
remain	1
remaining	1
remains	1
remnant	1
remorse	1
remote	1
remove	1
removed	1
renew	1
renowned	1
reorient	1
repair	1
repeat	1
repellent	1
replaces	1
replicate	1
replication	1
reportedly	1
reporters	1
represent	1
representative	1
representatives	1
represents	1
reproduce	1
reproduction	1
reproductive-aged	1
repulsive	1
reputation	1
request	1
requests	1
requiring	1
researching	1
resemble	1
resembles	1
reserve	1
resident	1
resins	1
resistance	1
resistance:	1
resonator	1
resonators	1
resource	1
respectively	1
responded	1
responders	1
responses	1
restricted	1
restricting	1
resulted	1
resulting	1
retaining	1
retardation	1
retreat	1
retreated	1
retreats	1
retribution	1
returns	1
reusable	1
reuse	1
reuters	1
revealed:	1
revenue	1
revenues	1
reversed	1
reviewing	1
revised	1
revived	1
revolutionary	1
revolutionize	1
reward	1
rf	1
rhenium	1
rhesus	1
rices	1
rides	1
ridges	1
rigid	1
rigorous	1
rim	1
rims	1
ripped	1
risaliti	1
rise	1
rishikof	1
risk	1
risks	1
river	1
rna	1
roadblocks	1
roaming	1
roaring	1
robot	1
robotic	1
robust	1
rock	1
rocket	1
rocks	1
roger	1
roles	1
roll	1
ron	1
rooms	1
ross	1
rotor	1
rotors	1
round	1
roundup	1
route	1
routers	1
routine	1
routinely	1
rove	1
rover	1
rovers	1
rubber	1
rubbing	1
rui	1
rumor	1
rumors	1
runs	1
runway	1
rush	1
rustling	1
sacrificing	1
safer	1
safety	1
sage	1
sailing	1
sale	1
salesforce	1
salesforce.coms	1
salesforces	1
salmon	1
sample	1
samples	1
samsung	1
samueli	1
sandoval	1
sandwiched	1
sarrel	1
sat	1
savings	1
scale	1
scaleable	1
scaling	1
scanned	1
scanning	1
scans	1
scenarios	1
schedule	1
scherrer	1
schmidt	1
schmidts	1
schools	1
schwer	1
scope	1
scores	1
scoring	1
scotch	1
scott	1
screen	1
screens	1
scripps	1
sczyrba	1
sdo	1
seals	1
season	1
sebastian	1
seconds	1
section	1
sector	1
secure	1
security	1
sedimentary	1
sediments	1
seeking	1
seemed	1
seemingly	1
segal	1
segments	1
seigler	1
seis	1
seismic	1
select	1
self-assemble	1
self-contained	1
sell	1
selling	1
semiconductor	1
semiconductors	1
send	1
sensor	1
sensory	1
separated	1
separating	1
separation	1
separations	1
sept	1
sequenced	1
sequencing	1
serendipitous	1
sergeant	1
sergio	1
serpent-like	1
servers	1
servicing	1
serving	1
sessions	1
settled	1
settlement	1
severe	1
sex	1
sf	1
shag	1
shareholders	1
sharpness	1
sheet	1
sheffield	1
sheffields	1
shell	1
shipping	1
shoot	1
shooter	1
shopping	1
short	1
short-lived	1
short-term	1
shortest	1
shorts	1
shredded	1
shrewd	1
shrinking	1
shrouds	1
shut	1
shuttle	1
sialyl-lewis-x	1
sides:	1
siegler	1
sierra	1
signed	1
signify	1
silence	1
silencing	1
silver	1
simcity	1
similar:	1
similarities	1
simulate	1
simulated	1
simulation	1
simulations	1
single-cell	1
single-celled	1
single-walled	1
sinica	1
sizeable	1
skewed	1
skippen	1
skull	1
skulls	1
sky	1
slamming	1
slams	1
slex	1
slex-like	1
slightly	1
slip	1
slow-moving	1
slows	1
small-business	1
smallest	1
smallpox	1
smart	1
smoke	1
smooth	1
smoothest	1
sniffen	1
snout	1
snowfall	1
socializing	1
societies	1
socorro	1
soho	1
soil	1
sokolov	1
solely	1
solid-like	1
solid-state	1
someday	1
somewhat	1
sonar	1
sony	1
sonys	1
sophisticated	1
sorts	1
south	1
space-based	1
space-going	1
space-worthy	1
spacelab	1
spain	1
span	1
spark	1
sparked	1
spawn	1
spawning	1
speaking	1
special	1
spectra	1
spectral	1
spectrometry	1
spectrum	1
speediest	1
speedy	1
spell	1
spending	1
sperm	1
sperm-binding	1
sperm-egg	1
sperms	1
spheres	1
spin	1
spins	1
spiral	1
spirals	1
spirit	1
spitzer	1
spoke	1
spokesman	1
spontaneous	1
spontaneously	1
spooky	1
sporadically	1
spread	1
spreading	1
spring-run	1
sprints	1
spukhafte	1
spur	1
squyres	1
st	1
stability	1
stabilization	1
staff	1
stands	1
stanley	1
star-formation	1
star-like	1
stared	1
stars08.23.11	1
stars08.31.11	1
state-of-the-art	1
stathis	1
stations	1
stays	1
steadily	1
steady	1
stem	1
stemming	1
stepanauskas	1
steven	1
stiffer	1
stiffest	1
stifling	1
stimulate	1
stimulated	1
stinging	1
stitch	1
stockholm	1
stood	1
storing	1
storm	1
storms	1
straightened	1
strange	1
streams	1
street	1
stress-related	1
stress-response	1
stretches	1
strike	1
strikes	1
striking	1
strikingly	1
strips	1
stronger	1
strongest	1
structural	1
structured	1
sts-135	1
stumbling	1
stymied	1
sub-fertility	1
subject	1
submarine	1
submerged	1
subsequent	1
substrates	1
subway	1
succeeded	1
sucked	1
sued	1
sues	1
suffering	1
sufficient	1
sugar	1
sugar-depleted	1
suggesting	1
suing	1
sulfate-rich	1
sulfuric	1
sulphur	1
sum	1
summers	1
sun-like	1
sunspot	1
sunspots	1
super-fast	1
supercapacitor	1
supercapacitors	1
superior	1
supermassive	1
supersized	1
supersonic	1
supplement	1
supplies	1
supply	1
supporters	1
supposed	1
suppressor	1
surely	1
surfaced	1
surfaces	1
surfacing	1
surge	1
surreal	1
surroundings	1
surveyed	1
survived	1
susceptible	1
suspended	1
sven	1
swallow	1
sweet	1
swift	1
swifts	1
swirl	1
swirling	1
swirls	1
switched	1
symmetrical	1
symmetry	1
synchronized	1
synergetic	1
synthesis	1
synthesised	1
synthesize	1
synthesizing	1
synthetic	1
systematic	1
t-mobile	1
t-mobiles	1
tab	1
tablets	1
tabs	1
tag	1
tale	1
talking	1
tangible	1
tanja	1
targets	1
tasks	1
teach	1
teachers	1
teaching	1
tease	1
techcrunch	1
techcrunchs	1
technical	1
technicians	1
teeth	1
telekom	1
telephone	1
telescopes	1
televisions	1
tell	1
telltale	1
template	1
tennis	1
tens	1
tensile	1
tequila	1
term	1
termed	1
terminus	1
terrestrial	1
territories	1
thank	1
thanks	1
theft	1
theories	1
therapeutic	1
thermal	1
thesis	1
theyve	1
thick	1
thickness	1
third	1
thirty	1
thompson	1
thousand	1
threats	1
three-axis	1
three-dimensional	1
three-month	1
three-year	1
thrilling	1
throwing	1
thrown	1
ticker	1
ticket	1
tidal	1
tidally	1
tide	1
tides	1
time-distance	1
time-intensive	1
time-lapse	1
time-limited	1
timeline	1
timescales	1
tip	1
tisdale	1
tissue	1
tissues	1
titanium	1
tolerated	1
toll-free	1
tomorrow	1
tons	1
tool	1
tooth	1
toothed	1
topic	1
topics	1
topography	1
tor	1
tornado	1
torsion	1
touched	1
touchpad	1
touchpads	1
tougher	1
tourism	1
touting	1
tower	1
towers	1
trace	1
tracker	1
tracking	1
trademark	1
traits	1
transceivers	1
transcribed	1
transcript	1
transform	1
transformation	1
transformed	1
transition	1
translational	1
transmission	1
transmit	1
transportation	1
trapping	1
traveling	1
traverses	1
treat	1
treated	1
treating	1
tree	1
trend	1
trial	1
trick:	1
trigger	1
trillion	1
trips	1
trough	1
troy	1
truck	1
tu	1
tube	1
tubing	1
tuesday	1
tuesdays	1
tumour	1
tumour-selective	1
tumours	1
tune	1
turbine	1
turbines	1
turbulent	1
turkey	1
turkish	1
turnaround	1
turning	1
turnover	1
tvis	1
twenty	1
twenty-fifth	1
twenty-fold	1
twilight	1
twist	1
twisted	1
twitter	1
tyler	1
typically	1
u-m	1
ucla	1
uk	1
ulcers	1
ulm	1
ultimately	1
ultra-precise	1
ultra-sensitive	1
ultrathin	1
ultraviolet	1
unable	1
unaccounted	1
unannounced	1
unanswered	1
unclear	1
unconfirmed	1
uncontrolled	1
uncultured	1
underwater	1
unemployment	1
unequal	1
unexplained	1
unfertilised	1
unfortunate	1
unified	1
unintended	1
unions	1
unit	1
united	1
universally	1
universe	1
universitys	1
unknown	1
unleashes	1
unloaded	1
unmask	1
unnamed	1
unravel	1
unravelling	1
unreactive	1
unrealized	1
unscathed	1
untreated	1
unused	1
uottawa	1
upsets	1
upstream	1
upward	1
usable	1
usage	1
usual	1
utilizes	1
utilizing	1
va	1
vaccines	1
vaccinia	1
validation	1
valley	1
valuable	1
value:	1
valve	1
valves	1
van	1
vancomycin	1
vandenberg	1
variety	1
vdi	1
vegas	1
vegetation	1
vehicles	1
veins	1
velocities	1
velocity	1
venerable	1
venture	1
verify	1
vertical	1
vertically	1
veteran	1
vibrate	1
vibrations	1
vice	1
victoria	1
videos	1
viirs	1
vinyl	1
violate	1
violates	1
violating	1
violence	1
virtual	1
virtualization	1
virtualized	1
viruses	1
visibility	1
visible	1
visible-light	1
visible/infrared	1
visit	1
visual	1
vital	1
vitro-fertilisation	1
vmware	1
vmworld	1
void	1
volcanic	1
voltage	1
volume	1
vowed	1
vulnerability	1
w.m	1
waals	1
waged	1
waiting	1
wallower	1
walter	1
wang	1
wants	1
warm	1
warmest	1
warner	1
warnings	1
warrant	1
wasnt	1
wastage	1
wasted	1
watched	1
watching	1
water:	1
watershed	1
waverider-type	1
weaker	1
weapon	1
wear	1
wearing	1
web	1
wed	1
wednesday	1
weekends	1
weekly	1
weigh	1
weighing	1
well-built	1
well-organized	1
well-preserved	1
western	1
wet	1
whale	1
whales	1
whatever	1
whim	1
whispernet	1
whispernet:	1
whispersync	1
why:	1
wide-field	1
widespread	1
wikileaks	1
wilan	1
wilans	1
wild	1
william	1
willing	1
wind	1
windows	1
wing	1
winged	1
wins	1
wire	1
wired	1
wires	1
wise	1
wises	1
wishful	1
wondering	1
wont	1
wood	1
word	1
words	1
workers	1
world-first	1
worried	1
worse	1
worst-kept	1
wove	1
woyke	1
wreaks	1
wright	1
writing	1
wyse	1
x-	1
x-class	1
y	1
yang	1
yangs	1
yates	1
yes	1
yeung	1
yielded	1
york	1
youssry	1
ys	1
yukon	1
zauderer	1
zauderers	1
