0 ['reuse', 'reliability', 'will']
4278 ['radio', 'blackouts', 'to']
4279 ['blackouts', 'to', 'power']
4280 ['to', 'power', 'outages']
4281 ['power', 'outages', 'astronomers']
4282 ['outages', 'astronomers', 'have']
4283 ['astronomers', 'have', 'been']
4284 ['have', 'been', 'studying']
4285 ['been', 'studying', 'sunspots']
4286 ['studying', 'sunspots', 'for']
4287 ['sunspots', 'for', 'more']
4288 ['for', 'more', 'than']
4289 ['more', 'than', '400']
4290 ['than', '400', 'years']
4291 ['400', 'years', 'and']
4292 ['years', 'and', 'they']
4293 ['and', 'they', 'have']
4294 ['they', 'have', 'pieced']
4295 ['have', 'pieced', 'together']
4296 ['pieced', 'together', 'their']
4297 ['together', 'their', 'basic']
4298 ['their', 'basic', 'characteristics:']
4299 ['basic', 'characteristics:', 'sunspots']
4300 ['characteristics:', 'sunspots', 'are']
4301 ['sunspots', 'are', 'planet-sized']
4302 ['are', 'planet-sized', 'islands']
4303 ['planet-sized', 'islands', 'of']
4304 ['islands', 'of', 'magnetism']
4305 ['of', 'magnetism', 'that']
4306 ['magnetism', 'that', 'float']
4307 ['that', 'float', 'in']
4308 ['float', 'in', 'solar']
4309 ['in', 'solar', 'plasma']
4310 ['solar', 'plasma', 'although']
4311 ['plasma', 'although', 'the']
4312 ['although', 'the', 'details']
4313 ['the', 'details', 'are']
4314 ['details', 'are', 'still']
4315 ['are', 'still', 'debated']
4316 ['still', 'debated', 'researchers']
4317 ['debated', 'researchers', 'generally']
4318 ['researchers', 'generally', 'agree']
4319 ['generally', 'agree', 'that']
4320 ['agree', 'that', 'sunspots']
4321 ['that', 'sunspots', 'are']
4322 ['sunspots', 'are', 'born']
4323 ['are', 'born', 'deep']
4324 ['born', 'deep', 'inside']
4325 ['deep', 'inside', 'the']
4326 ['inside', 'the', 'sun']
4327 ['the', 'sun', 'via']
4328 ['sun', 'via', 'the']
4329 ['via', 'the', 'action']
4330 ['the', 'action', 'of']
4331 ['action', 'of', 'the']
4332 ['of', 'the', 'suns']
4333 ['the', 'suns', 'inner']
4334 ['suns', 'inner', 'magnetic']
4335 ['inner', 'magnetic', 'dynamo']
4336 ['magnetic', 'dynamo', 'from']
4337 ['dynamo', 'from', 'there']
4338 ['from', 'there', 'they']
4339 ['there', 'they', 'bob']
4340 ['they', 'bob', 'to']
4341 ['bob', 'to', 'the']
4342 ['to', 'the', 'top']
4343 ['the', 'top', 'carried']
4344 ['top', 'carried', 'upward']
4345 ['carried', 'upward', 'by']
4346 ['upward', 'by', 'magnetic']
4347 ['by', 'magnetic', 'buoyancy']
4348 ['magnetic', 'buoyancy', 'a']
4349 ['buoyancy', 'a', 'sunspot']
4350 ['a', 'sunspot', 'emerging']
4351 ['sunspot', 'emerging', 'at']
4352 ['emerging', 'at', 'the']
4353 ['at', 'the', 'stellar']
4354 ['the', 'stellar', 'surface']
4355 ['stellar', 'surface', 'is']
4356 ['surface', 'is', 'a']
4357 ['is', 'a', 'bit']
4358 ['a', 'bit', 'like']
4359 ['bit', 'like', 'a']
4360 ['like', 'a', 'submarine']
4361 ['a', 'submarine', 'emerging']
4362 ['submarine', 'emerging', 'from']
4363 ['emerging', 'from', 'the']
4364 ['from', 'the', 'ocean']
4365 ['the', 'ocean', 'depths']
4366 ['ocean', 'depths', 'in']
4367 ['depths', 'in', 'the']
4368 ['in', 'the', 'august']
4369 ['the', 'august', '19th']
4370 ['august', '19th', 'issue']
4371 ['19th', 'issue', 'of']
4372 ['issue', 'of', 'science']
4373 ['of', 'science', 'ilonidis']
4374 ['science', 'ilonidis', 'and']
4375 ['ilonidis', 'and', 'co-workers']
4376 ['and', 'co-workers', 'junwei']
4377 ['co-workers', 'junwei', 'zhao']
4378 ['junwei', 'zhao', 'and']
4379 ['zhao', 'and', 'alexander']
4380 ['and', 'alexander', 'kosovichev']
4381 ['alexander', 'kosovichev', 'announced']
4382 ['kosovichev', 'announced', 'that']
4383 ['announced', 'that', 'they']
4384 ['that', 'they', 'can']
4385 ['they', 'can', 'see']
4386 ['can', 'see', 'some']
4387 ['see', 'some', 'sunspots']
4388 ['some', 'sunspots', 'while']
4389 ['sunspots', 'while', 'they']
4390 ['while', 'they', 'are']
4391 ['they', 'are', 'still']
4392 ['are', 'still', 'submerged']
4393 ['still', 'submerged', 'their']
4394 ['submerged', 'their', 'analysis']
4395 ['their', 'analysis', 'technique']
4396 ['analysis', 'technique', 'is']
4397 ['technique', 'is', 'called']
4398 ['is', 'called', 'time-distance']
4399 ['called', 'time-distance', 'helioseismology']
4400 ['time-distance', 'helioseismology', 'and']
4401 ['helioseismology', 'and', 'it']
4402 ['and', 'it', 'is']
4403 ['it', 'is', 'similar']
4404 ['is', 'similar', 'to']
4405 ['similar', 'to', 'an']
4406 ['to', 'an', 'approach']
4407 ['an', 'approach', 'widely']
4408 ['approach', 'widely', 'used']
4409 ['widely', 'used', 'in']
4410 ['used', 'in', 'earthquake']
4411 ['in', 'earthquake', 'studies']
4412 ['earthquake', 'studies', 'just']
4413 ['studies', 'just', 'as']
4414 ['just', 'as', 'seismic']
4415 ['as', 'seismic', 'waves']
4416 ['seismic', 'waves', 'traveling']
4417 ['waves', 'traveling', 'through']
4418 ['traveling', 'through', 'the']
4419 ['through', 'the', 'body']
4420 ['the', 'body', 'of']
4421 ['body', 'of', 'earth']
4422 ['of', 'earth', 'reveal']
4423 ['earth', 'reveal', 'what']
4424 ['reveal', 'what', 'is']
4425 ['what', 'is', 'inside']
4426 ['is', 'inside', 'the']
4427 ['inside', 'the', 'planet']
4428 ['the', 'planet', 'acoustic']
4429 ['planet', 'acoustic', 'waves']
4430 ['acoustic', 'waves', 'traveling']
4431 ['body', 'of', 'the']
4432 ['of', 'the', 'sun']
4433 ['the', 'sun', 'can']
4434 ['sun', 'can', 'reveal']
4435 ['can', 'reveal', 'what']
4436 ['inside', 'the', 'star']
4437 ['the', 'star', 'fortunately']
4438 ['star', 'fortunately', 'for']
4439 ['fortunately', 'for', 'helioseismologists']
4440 ['for', 'helioseismologists', 'the']
4441 ['helioseismologists', 'the', 'sun']
4442 ['the', 'sun', 'has']
4443 ['sun', 'has', 'acoustic']
4444 ['has', 'acoustic', 'waves']
4445 ['acoustic', 'waves', 'in']
4446 ['waves', 'in', 'abundance']
4447 ['in', 'abundance', 'the']
4448 ['abundance', 'the', 'body']
4449 ['the', 'sun', 'is']
4450 ['sun', 'is', 'literally']
4451 ['is', 'literally', 'roaring']
4452 ['literally', 'roaring', 'with']
4453 ['roaring', 'with', 'turbulent']
4454 ['with', 'turbulent', 'boiling']
4455 ['turbulent', 'boiling', 'motions']
4456 ['boiling', 'motions', 'this']
4457 ['motions', 'this', 'sets']
4458 ['this', 'sets', 'the']
4459 ['sets', 'the', 'stage']
4460 ['the', 'stage', 'for']
4461 ['stage', 'for', 'early']
4462 ['for', 'early', 'detection']
4463 ['early', 'detection', 'of']
4464 ['detection', 'of', 'sunspots']
4465 ['of', 'sunspots', 'we']
4466 ['sunspots', 'we', 'cant']
4467 ['we', 'cant', 'actually']
4468 ['cant', 'actually', 'hear']
4469 ['actually', 'hear', 'these']
4470 ['hear', 'these', 'sounds']
4471 ['these', 'sounds', 'across']
4472 ['sounds', 'across', 'the']
4473 ['across', 'the', 'gulf']
4474 ['the', 'gulf', 'of']
4475 ['gulf', 'of', 'space']
4476 ['of', 'space', 'explains']
4477 ['space', 'explains', 'ilonidis']
4478 ['explains', 'ilonidis', 'but']
4479 ['ilonidis', 'but', 'we']
4480 ['but', 'we', 'can']
4481 ['we', 'can', 'see']
4482 ['can', 'see', 'the']
4483 ['see', 'the', 'vibrations']
4484 ['the', 'vibrations', 'they']
4485 ['vibrations', 'they', 'make']
4486 ['they', 'make', 'on']
4487 ['make', 'on', 'the']
4488 ['on', 'the', 'suns']
4489 ['the', 'suns', 'surface']
4490 ['suns', 'surface', 'instruments']
4491 ['surface', 'instruments', 'onboard']
4492 ['instruments', 'onboard', 'two']
4493 ['onboard', 'two', 'spacecraft']
4494 ['two', 'spacecraft', 'the']
4495 ['spacecraft', 'the', 'venerable']
4496 ['the', 'venerable', 'solar']
4497 ['venerable', 'solar', 'and']
4498 ['solar', 'and', 'heliospheric']
4499 ['and', 'heliospheric', 'observatory']
4500 ['heliospheric', 'observatory', 'soho']
4501 ['observatory', 'soho', 'and']
4502 ['soho', 'and', 'the']
4503 ['and', 'the', 'newer']
4504 ['the', 'newer', 'solar']
4505 ['newer', 'solar', 'dynamics']
4506 ['solar', 'dynamics', 'observatory']
4507 ['dynamics', 'observatory', 'sdo']
4508 ['observatory', 'sdo', 'constantly']
4509 ['sdo', 'constantly', 'monitor']
4510 ['constantly', 'monitor', 'the']
4511 ['monitor', 'the', 'sun']
4512 ['the', 'sun', 'for']
4513 ['sun', 'for', 'acoustic']
4514 ['for', 'acoustic', 'activity']
4515 ['acoustic', 'activity', 'submerged']
4516 ['activity', 'submerged', 'sunspots']
4517 ['submerged', 'sunspots', 'have']
4518 ['sunspots', 'have', 'a']
4519 ['have', 'a', 'detectable']
4520 ['a', 'detectable', 'effect']
4521 ['detectable', 'effect', 'on']
4522 ['effect', 'on', 'the']
4523 ['suns', 'inner', 'acoustics']
4524 ['inner', 'acoustics', 'namely']
4525 ['acoustics', 'namely', 'sound']
4526 ['namely', 'sound', 'waves']
4527 ['sound', 'waves', 'travel']
4528 ['waves', 'travel', 'faster']
4529 ['travel', 'faster', 'through']
4530 ['faster', 'through', 'a']
4531 ['through', 'a', 'sunspot']
4532 ['a', 'sunspot', 'than']
4533 ['sunspot', 'than', 'through']
4534 ['than', 'through', 'the']
4535 ['through', 'the', 'surrounding']
4536 ['the', 'surrounding', 'plasma']
4537 ['surrounding', 'plasma', 'a']
4538 ['plasma', 'a', 'big']
4539 ['a', 'big', 'sunspot']
4540 ['big', 'sunspot', 'can']
4541 ['sunspot', 'can', 'leapfrog']
4542 ['can', 'leapfrog', 'an']
4543 ['leapfrog', 'an', 'acoustic']
4544 ['an', 'acoustic', 'wave']
4545 ['acoustic', 'wave', 'by']
4546 ['wave', 'by', '12']
4547 ['by', '12', 'to']
4548 ['12', 'to', '16']
4549 ['to', '16', 'seconds']
4550 ['16', 'seconds', 'by']
4551 ['seconds', 'by', 'measuring']
4552 ['by', 'measuring', 'these']
4553 ['measuring', 'these', 'time']
4554 ['these', 'time', 'differences']
4555 ['time', 'differences', 'we']
4556 ['differences', 'we', 'can']
4557 ['we', 'can', 'find']
4558 ['can', 'find', 'the']
4559 ['find', 'the', 'hidden']
4560 ['the', 'hidden', 'sunspot']
4561 ['hidden', 'sunspot', 'ilonidis']
4562 ['sunspot', 'ilonidis', 'says']
4563 ['ilonidis', 'says', 'the']
4564 ['says', 'the', 'technique']
4565 ['the', 'technique', 'seems']
4566 ['technique', 'seems', 'to']
4567 ['seems', 'to', 'be']
4568 ['to', 'be', 'most']
4569 ['be', 'most', 'sensitive']
4570 ['most', 'sensitive', 'to']
4571 ['sensitive', 'to', 'sunspots']
4572 ['to', 'sunspots', 'located']
4573 ['sunspots', 'located', 'about']
4574 ['located', 'about', '60000']
4575 ['about', '60000', 'km']
4576 ['60000', 'km', 'beneath']
4577 ['km', 'beneath', 'the']
4578 ['beneath', 'the', 'suns']
4579 ['suns', 'surface', 'the']
4580 ['surface', 'the', 'team']
4581 ['the', 'team', 'isnt']
4582 ['team', 'isnt', 'sure']
4583 ['isnt', 'sure', 'why']
4584 ['sure', 'why', 'that']
4585 ['why', 'that', 'is']
4586 ['that', 'is', 'the']
4587 ['is', 'the', 'magic']
4588 ['the', 'magic', 'distance']
4589 ['magic', 'distance', 'but']
4590 ['distance', 'but', 'its']
4591 ['but', 'its', 'a']
4592 ['its', 'a', 'good']
4593 ['a', 'good', 'distance']
4594 ['good', 'distance', 'because']
4595 ['distance', 'because', 'it']
4596 ['because', 'it', 'gives']
4597 ['it', 'gives', 'them']
4598 ['gives', 'them', 'as']
4599 ['them', 'as', 'much']
4600 ['much', 'as', 'two']
4601 ['as', 'two', 'days']
4602 ['two', 'days', 'advance']
4603 ['days', 'advance', 'notice']
4604 ['advance', 'notice', 'that']
4605 ['notice', 'that', 'a']
4606 ['that', 'a', 'spot']
4607 ['a', 'spot', 'is']
4608 ['spot', 'is', 'about']
4609 ['is', 'about', 'to']
4610 ['about', 'to', 'reach']
4611 ['to', 'reach', 'the']
4612 ['reach', 'the', 'surface']
4613 ['the', 'surface', 'this']
4614 ['surface', 'this', 'is']
4615 ['this', 'is', 'the']
4616 ['first', 'time', 'anyone']
4617 ['time', 'anyone', 'has']
4618 ['anyone', 'has', 'been']
4619 ['has', 'been', 'able']
4620 ['been', 'able', 'to']
4621 ['able', 'to', 'point']
4622 ['to', 'point', 'to']
4623 ['point', 'to', 'a']
4624 ['to', 'a', 'blank']
4625 ['a', 'blank', 'patch']
4626 ['blank', 'patch', 'of']
4627 ['patch', 'of', 'sun']
4628 ['of', 'sun', 'and']
4629 ['sun', 'and', 'say']
4630 ['and', 'say', 'a']
4631 ['say', 'a', 'sunspot']
4632 ['a', 'sunspot', 'is']
4633 ['sunspot', 'is', 'about']
4634 ['about', 'to', 'appear']
4635 ['to', 'appear', 'right']
4636 ['appear', 'right', 'there']
4637 ['right', 'there', 'says']
4638 ['there', 'says', 'ilonidiss']
4639 ['says', 'ilonidiss', 'thesis']
4640 ['ilonidiss', 'thesis', 'advisor']
4641 ['thesis', 'advisor', 'prof']
4642 ['advisor', 'prof', 'phil']
4643 ['prof', 'phil', 'scherrer']
4644 ['phil', 'scherrer', 'of']
4645 ['scherrer', 'of', 'the']
4646 ['of', 'the', 'stanford']
4647 ['the', 'stanford', 'physics']
4648 ['stanford', 'physics', 'department']
4649 ['physics', 'department', 'its']
4650 ['department', 'its', 'a']
4651 ['its', 'a', 'big']
4652 ['a', 'big', 'advance']
4653 ['big', 'advance', 'there']
4654 ['advance', 'there', 'are']
4655 ['there', 'are', 'limits']
4656 ['are', 'limits', 'to']
4657 ['limits', 'to', 'the']
4658 ['to', 'the', 'technique']
4659 ['the', 'technique', 'cautions']
4660 ['technique', 'cautions', 'ilonidis']
4661 ['cautions', 'ilonidis', 'we']
4662 ['ilonidis', 'we', 'can']
4663 ['we', 'can', 'say']
4664 ['can', 'say', 'that']
4665 ['say', 'that', 'a']
4666 ['that', 'a', 'big']
4667 ['big', 'sunspot', 'is']
4668 ['sunspot', 'is', 'coming']
4669 ['is', 'coming', 'but']
4670 ['coming', 'but', 'we']
4671 ['but', 'we', 'cannot']
4672 ['we', 'cannot', 'yet']
4673 ['cannot', 'yet', 'predict']
4674 ['yet', 'predict', 'if']
4675 ['predict', 'if', 'a']
4676 ['if', 'a', 'particular']
4677 ['a', 'particular', 'sunspot']
4678 ['particular', 'sunspot', 'will']
4679 ['sunspot', 'will', 'produce']
4680 ['will', 'produce', 'an']
4681 ['produce', 'an', 'earth-directed']
4682 ['an', 'earth-directed', 'flare']
4683 ['earth-directed', 'flare', 'so']
4684 ['flare', 'so', 'far']
4685 ['so', 'far', 'they']
4686 ['far', 'they', 'have']
4687 ['they', 'have', 'detected']
4688 ['have', 'detected', 'five']
4689 ['detected', 'five', 'emerging']
4690 ['five', 'emerging', 'sunspots']
4691 ['emerging', 'sunspots', 'four']
4692 ['sunspots', 'four', 'with']
4693 ['four', 'with', 'soho']
4694 ['with', 'soho', 'and']
4695 ['soho', 'and', 'one']
4696 ['and', 'one', 'with']
4697 ['one', 'with', 'sdo']
4698 ['with', 'sdo', 'of']
4699 ['sdo', 'of', 'those']
4700 ['of', 'those', 'five']
4701 ['those', 'five', 'two']
4702 ['five', 'two', 'went']
4703 ['two', 'went', 'on']
4704 ['went', 'on', 'to']
4705 ['on', 'to', 'produce']
4706 ['to', 'produce', 'x-class']
4707 ['produce', 'x-class', 'flares']
4708 ['x-class', 'flares', 'the']
4709 ['flares', 'the', 'most']
4710 ['the', 'most', 'powerful']
4711 ['most', 'powerful', 'kind']
4712 ['powerful', 'kind', 'of']
4713 ['kind', 'of', 'solar']
4714 ['of', 'solar', 'explosion']
4715 ['solar', 'explosion', 'this']
4716 ['explosion', 'this', 'encourages']
4717 ['this', 'encourages', 'the']
4718 ['encourages', 'the', 'team']
4719 ['the', 'team', 'to']
4720 ['team', 'to', 'believe']
4721 ['to', 'believe', 'their']
4722 ['believe', 'their', 'technique']
4723 ['their', 'technique', 'can']
4724 ['technique', 'can', 'make']
4725 ['can', 'make', 'a']
4726 ['make', 'a', 'positive']
4727 ['a', 'positive', 'contribution']
4728 ['positive', 'contribution', 'to']
4729 ['contribution', 'to', 'space']
4730 ['to', 'space', 'weather']
4731 ['weather', 'forecasting', 'because']
4732 ['forecasting', 'because', 'helioseismology']
4733 ['because', 'helioseismology', 'is']
4734 ['helioseismology', 'is', 'computationally']
4735 ['is', 'computationally', 'intensive']
4736 ['computationally', 'intensive', 'regular']
4737 ['intensive', 'regular', 'monitoring']
4738 ['regular', 'monitoring', 'of']
4739 ['monitoring', 'of', 'the']
4740 ['of', 'the', 'whole']
4741 ['the', 'whole', 'sun']
4742 ['whole', 'sun', 'is']
4743 ['sun', 'is', 'not']
4744 ['is', 'not', 'yet']
4745 ['not', 'yet', 'possible']
4746 ['yet', 'possible', 'we']
4747 ['possible', 'we', 'dont']
4748 ['we', 'dont', 'have']
4749 ['dont', 'have', 'enough']
4750 ['have', 'enough', 'cpu']
4751 ['enough', 'cpu', 'cycles']
4752 ['cpu', 'cycles', 'says']
4753 ['cycles', 'says', 'ilonidis']
4754 ['says', 'ilonidis', 'but']
4755 ['ilonidis', 'but', 'he']
4756 ['but', 'he', 'believes']
4757 ['he', 'believes', 'it']
4758 ['believes', 'it', 'is']
4759 ['it', 'is', 'just']
4760 ['is', 'just', 'a']
4761 ['just', 'a', 'matter']
4762 ['a', 'matter', 'of']
4763 ['matter', 'of', 'time']
4764 ['of', 'time', 'before']
4765 ['time', 'before', 'refinements']
4766 ['before', 'refinements', 'in']
4767 ['refinements', 'in', 'their']
4768 ['in', 'their', 'algorithm']
4769 ['their', 'algorithm', 'allow']
4770 ['algorithm', 'allow', 'routine']
4771 ['allow', 'routine', 'detection']
4772 ['routine', 'detection', 'of']
4773 ['detection', 'of', 'hidden']
4774 ['of', 'hidden', 'sunspots']
4775 ['researchers', 'detail', 'how']
4776 ['detail', 'how', 'a']
4777 ['how', 'a', 'distant']
4778 ['a', 'distant', 'black']
4779 ['distant', 'black', 'hole']
4780 ['black', 'hole', 'devoured']
4781 ['hole', 'devoured', 'a']
4782 ['devoured', 'a', 'star']
4783 ['a', 'star', '08.24.11']
4784 ['star', '08.24.11', 'washington']
4785 ['08.24.11', 'washington', 'two']
4786 ['washington', 'two', 'studies']
4787 ['two', 'studies', 'appearing']
4788 ['studies', 'appearing', 'in']
4789 ['appearing', 'in', 'the']
4790 ['in', 'the', 'aug']
4791 ['the', 'aug', '25']
4792 ['aug', '25', 'issue']
4793 ['25', 'issue', 'of']
4794 ['journal', 'nature', 'provide']
4795 ['nature', 'provide', 'new']
4796 ['provide', 'new', 'insights']
4797 ['new', 'insights', 'into']
4798 ['insights', 'into', 'a']
4799 ['into', 'a', 'cosmic']
4800 ['a', 'cosmic', 'accident']
4801 ['cosmic', 'accident', 'that']
4802 ['accident', 'that', 'has']
4803 ['that', 'has', 'been']
4804 ['has', 'been', 'streaming']
4805 ['been', 'streaming', 'x-rays']
4806 ['streaming', 'x-rays', 'toward']
4807 ['x-rays', 'toward', 'earth']
4808 ['toward', 'earth', 'since']
4809 ['earth', 'since', 'late']
4810 ['since', 'late', 'march']
4811 ['late', 'march', 'nasas']
4812 ['march', 'nasas', 'swift']
4813 ['nasas', 'swift', 'satellite']
4814 ['swift', 'satellite', 'first']
4815 ['satellite', 'first', 'alerted']
4816 ['first', 'alerted', 'astronomers']
4817 ['alerted', 'astronomers', 'to']
4818 ['astronomers', 'to', 'intense']
4819 ['to', 'intense', 'and']
4820 ['intense', 'and', 'unusual']
4821 ['and', 'unusual', 'high-energy']
4822 ['unusual', 'high-energy', 'flares']
4823 ['high-energy', 'flares', 'from']
4824 ['flares', 'from', 'the']
4825 ['from', 'the', 'new']
4826 ['the', 'new', 'source']
4827 ['new', 'source', 'in']
4828 ['source', 'in', 'the']
4829 ['in', 'the', 'constellation']
4830 ['the', 'constellation', 'draco']
4831 ['constellation', 'draco', 'incredibly']
4832 ['draco', 'incredibly', 'this']
4833 ['incredibly', 'this', 'source']
4834 ['this', 'source', 'is']
4835 ['source', 'is', 'still']
4836 ['is', 'still', 'producing']
4837 ['still', 'producing', 'x-rays']
4838 ['producing', 'x-rays', 'and']
4839 ['x-rays', 'and', 'may']
4840 ['and', 'may', 'remain']
4841 ['may', 'remain', 'bright']
4842 ['remain', 'bright', 'enough']
4843 ['bright', 'enough', 'for']
4844 ['enough', 'for', 'swift']
4845 ['for', 'swift', 'to']
4846 ['swift', 'to', 'observe']
4847 ['to', 'observe', 'into']
4848 ['observe', 'into', 'next']
4849 ['into', 'next', 'year']
4850 ['next', 'year', 'said']
4851 ['year', 'said', 'david']
4852 ['said', 'david', 'burrows']
4853 ['david', 'burrows', 'professor']
4854 ['burrows', 'professor', 'of']
4855 ['professor', 'of', 'astronomy']
4856 ['of', 'astronomy', 'at']
4857 ['astronomy', 'at', 'penn']
4858 ['at', 'penn', 'state']
4859 ['penn', 'state', 'university']
4860 ['state', 'university', 'and']
4861 ['university', 'and', 'lead']
4862 ['and', 'lead', 'scientist']
4863 ['lead', 'scientist', 'for']
4864 ['scientist', 'for', 'the']
4865 ['for', 'the', 'missions']
4866 ['the', 'missions', 'x-ray']
4867 ['missions', 'x-ray', 'telescope']
4868 ['x-ray', 'telescope', 'instrument']
4869 ['telescope', 'instrument', 'it']
4870 ['instrument', 'it', 'behaves']
4871 ['it', 'behaves', 'unlike']
4872 ['behaves', 'unlike', 'anything']
4873 ['unlike', 'anything', 'weve']
4874 ['anything', 'weve', 'seen']
4875 ['weve', 'seen', 'before']
4876 ['seen', 'before', 'astronomers']
4877 ['before', 'astronomers', 'soon']
4878 ['astronomers', 'soon', 'realized']
4879 ['soon', 'realized', 'the']
4880 ['realized', 'the', 'source']
4881 ['the', 'source', 'known']
4882 ['source', 'known', 'as']
4883 ['known', 'as', 'swift']
4884 ['as', 'swift', 'j1644+57']
4885 ['swift', 'j1644+57', 'was']
4886 ['j1644+57', 'was', 'the']
4887 ['was', 'the', 'result']
4888 ['the', 'result', 'of']
4889 ['result', 'of', 'a']
4890 ['of', 'a', 'truly']
4891 ['a', 'truly', 'extraordinary']
4892 ['truly', 'extraordinary', 'event']
4893 ['extraordinary', 'event', 'the']
4894 ['event', 'the', 'awakening']
4895 ['the', 'awakening', 'of']
4896 ['awakening', 'of', 'a']
4897 ['of', 'a', 'distant']
4898 ['a', 'distant', 'galaxys']
4899 ['distant', 'galaxys', 'dormant']
4900 ['galaxys', 'dormant', 'black']
4901 ['dormant', 'black', 'hole']
4902 ['black', 'hole', 'as']
4903 ['hole', 'as', 'it']
4904 ['as', 'it', 'shredded']
4905 ['it', 'shredded', 'and']
4906 ['shredded', 'and', 'consumed']
4907 ['and', 'consumed', 'a']
4908 ['consumed', 'a', 'star']
4909 ['a', 'star', 'the']
4910 ['star', 'the', 'galaxy']
4911 ['the', 'galaxy', 'is']
4912 ['galaxy', 'is', 'so']
4913 ['is', 'so', 'far']
4914 ['so', 'far', 'away']
4915 ['far', 'away', 'it']
4916 ['away', 'it', 'took']
4917 ['it', 'took', 'the']
4918 ['took', 'the', 'light']
4919 ['the', 'light', 'from']
4920 ['light', 'from', 'the']
4921 ['from', 'the', 'event']
4922 ['the', 'event', 'approximately']
4923 ['event', 'approximately', '3.9']
4924 ['approximately', '3.9', 'billion']
4925 ['3.9', 'billion', 'years']
4926 ['billion', 'years', 'to']
4927 ['years', 'to', 'reach']
4928 ['to', 'reach', 'earth']
4929 ['reach', 'earth', 'burrows']
4930 ['earth', 'burrows', 'study']
4931 ['burrows', 'study', 'included']
4932 ['study', 'included', 'nasa']
4933 ['included', 'nasa', 'scientists']
4934 ['nasa', 'scientists', 'it']
4935 ['scientists', 'it', 'highlights']
4936 ['it', 'highlights', 'the']
4937 ['highlights', 'the', 'x-']
4938 ['the', 'x-', 'and']
4939 ['x-', 'and', 'gamma-ray']
4940 ['and', 'gamma-ray', 'observations']
4941 ['gamma-ray', 'observations', 'from']
4942 ['observations', 'from', 'swift']
4943 ['from', 'swift', 'and']
4944 ['swift', 'and', 'other']
4945 ['and', 'other', 'detectors']
4946 ['other', 'detectors', 'including']
4947 ['detectors', 'including', 'the']
4948 ['including', 'the', 'japan-led']
4949 ['the', 'japan-led', 'monitor']
4950 ['japan-led', 'monitor', 'of']
4951 ['monitor', 'of', 'all-sky']
4952 ['of', 'all-sky', 'x-ray']
4953 ['all-sky', 'x-ray', 'image']
4954 ['x-ray', 'image', 'maxi']
4955 ['image', 'maxi', 'instrument']
4956 ['maxi', 'instrument', 'aboard']
4957 ['instrument', 'aboard', 'the']
4958 ['aboard', 'the', 'international']
4959 ['station', 'the', 'second']
4960 ['the', 'second', 'study']
4961 ['second', 'study', 'was']
4962 ['study', 'was', 'led']
4963 ['was', 'led', 'by']
4964 ['led', 'by', 'ashley']
4965 ['by', 'ashley', 'zauderer']
4966 ['ashley', 'zauderer', 'a']
4967 ['zauderer', 'a', 'post-doctoral']
4968 ['a', 'post-doctoral', 'fellow']
4969 ['post-doctoral', 'fellow', 'at']
4970 ['fellow', 'at', 'the']
4971 ['at', 'the', 'harvard-smithsonian']
4972 ['astrophysics', 'in', 'cambridge']
4973 ['cambridge', 'mass', 'it']
4974 ['mass', 'it', 'examines']
4975 ['it', 'examines', 'the']
4976 ['examines', 'the', 'unprecedented']
4977 ['the', 'unprecedented', 'outburst']
4978 ['unprecedented', 'outburst', 'through']
4979 ['outburst', 'through', 'observations']
4980 ['through', 'observations', 'from']
4981 ['observations', 'from', 'numerous']
4982 ['from', 'numerous', 'ground-based']
4983 ['numerous', 'ground-based', 'radio']
4984 ['ground-based', 'radio', 'observatories']
4985 ['radio', 'observatories', 'including']
4986 ['observatories', 'including', 'the']
4987 ['including', 'the', 'national']
4988 ['the', 'national', 'radio']
4989 ['national', 'radio', 'astronomy']
4990 ['radio', 'astronomy', 'observatorys']
4991 ['astronomy', 'observatorys', 'expanded']
4992 ['observatorys', 'expanded', 'very']
4993 ['expanded', 'very', 'large']
4994 ['very', 'large', 'array']
4995 ['large', 'array', 'evla']
4996 ['array', 'evla', 'near']
4997 ['evla', 'near', 'socorro']
4998 ['near', 'socorro', 'n.m']
4999 ['socorro', 'n.m', 'most']
5000 ['n.m', 'most', 'galaxies']
5001 ['most', 'galaxies', 'including']
5002 ['galaxies', 'including', 'our']
5003 ['including', 'our', 'own']
5004 ['our', 'own', 'possess']
5005 ['own', 'possess', 'a']
5006 ['possess', 'a', 'central']
5007 ['a', 'central', 'supersized']
5008 ['central', 'supersized', 'black']
5009 ['supersized', 'black', 'hole']
5010 ['black', 'hole', 'weighing']
5011 ['hole', 'weighing', 'millions']
5012 ['weighing', 'millions', 'of']
5013 ['millions', 'of', 'times']
5014 ['of', 'times', 'the']
5015 ['times', 'the', 'suns']
5016 ['the', 'suns', 'mass']
5017 ['suns', 'mass', 'according']
5018 ['mass', 'according', 'to']
5019 ['according', 'to', 'the']
5020 ['to', 'the', 'new']
5021 ['the', 'new', 'studies']
5022 ['new', 'studies', 'the']
5023 ['studies', 'the', 'black']
5024 ['the', 'galaxy', 'hosting']
5025 ['galaxy', 'hosting', 'swift']
5026 ['hosting', 'swift', 'j1644+57']
5027 ['swift', 'j1644+57', 'may']
5028 ['j1644+57', 'may', 'be']
5029 ['may', 'be', 'twice']
5030 ['be', 'twice', 'the']
5031 ['twice', 'the', 'mass']
